"Parasite.species","parasite_genus","parasite_family","parasite_order","parasite_class","parasite_phylum","Host.no","Host_no_fac","Stage","assumed_stage","Def.int","Facultative","num_hosts","host_phylum","host_class","host_bm","host_tl","endo_ecto","prop_endo","vert_invert","habitat","prop_terr","Site","body_cavity","gi_tract","gi_wall","pulmonary","biliary","urinary","enclosed","lcl_max","lcl_max_fac","initial_biov","initial_length","initial_width","biovolume","avg_length","avg_width","avg_dt","avg_dd","rel_growth","biov_paratenic","avg_dt_paratenic","avg_dd_paratenic","rel_growth_paratenic","tree_tips"
"Contracaecum ogmorhini s.s.","Contracaecum","Anisakidae","Ascaridida","Chromadorea","Nematoda",2,"2","2larv","no","int","no",3,"Chordata","Actinopterygii",3.51959221900102,4.10333333333333,"ecto",0,"invert","aquatic",0,"gut","no","yes","no","no","no","no","no",4,"3+",NA,NA,NA,0.215002747230051,4.38,0.25,NA,NA,NA,0.215002747230051,NA,NA,NA,"Contracaecum_ogmorhini_s.s."
"Contracaecum ogmorhini s.s.","Contracaecum","Anisakidae","Ascaridida","Chromadorea","Nematoda",3,"3","3larv","no","int","paratenic",1,"Chordata","Actinopterygii",4.69922370778204,4.16,"ecto",0,"invert","aquatic",0,"gut","no","yes","no","no","no","no","no",4,"3+",0.215002747230051,4.38,0.25,NA,NA,NA,NA,NA,NA,0.215002747230051,1,20,0,"Contracaecum_ogmorhini_s.s."
"Contracaecum ogmorhini s.s.","Contracaecum","Anisakidae","Ascaridida","Chromadorea","Nematoda",4,"4","adult","no","def","no",5,"Chordata","Mammalia",4.84714475943081,3.93539753466872,"endo",1,"vert","aquatic",0,"stomach","no","yes","no","no","no","no","no",4,"3+",NA,NA,NA,120.433645525749,59.85,1.54,NA,NA,NA,120.433645525749,NA,NA,NA,"Contracaecum_ogmorhini_s.s."
"Contracaecum osculatum [A-C]","Contracaecum","Anisakidae","Ascaridida","Chromadorea","Nematoda",1,"1","1larv","no","int","paratenic",8,"Arthropoda","Hexanauplia",-3.48225295794231,2.52949404761905,"ecto",0,"invert","aquatic",0,"body cavity","yes","no","no","no","no","no","no",4,"3+",0.000154714013411337,0.372333333333333,0.022,NA,0.395,NA,NA,NA,NA,0.000154714013411337,1,20,0,"Contracaecum_osculatum_A-C"
"Contracaecum osculatum [A-C]","Contracaecum","Anisakidae","Ascaridida","Chromadorea","Nematoda",2,"2","2larv","no","int","no",25,"Chordata","Actinopterygii",2.56489302257906,3.49037650686369,"ecto",0,"invert","aquatic",0,"liver","no","no","no","no","yes","no","no",4,"3+",NA,0.395,NA,2.97545266769735,6.28866666666667,0.5,NA,NA,NA,2.97545266769735,NA,NA,NA,"Contracaecum_osculatum_A-C"
"Contracaecum osculatum [A-C]","Contracaecum","Anisakidae","Ascaridida","Chromadorea","Nematoda",3,"3","3larv","no","int","paratenic",5,"Chordata","Actinopterygii",3.7815685486317,3.99095160665892,"ecto",0,"invert","aquatic",0,"liver","no","no","no","no","yes","no","no",4,"3+",2.97545266769735,6.28866666666667,0.5,5.01032945951025,15.5225,0.608,NA,NA,0.22631323822491,5.01032945951025,1,20,0.22631323822491,"Contracaecum_osculatum_A-C"
"Contracaecum osculatum [A-C]","Contracaecum","Anisakidae","Ascaridida","Chromadorea","Nematoda",4,"4","adult","no","def","no",8,"Chordata","Mammalia",4.89407307136019,3.86597756410256,"endo",1,"vert","aquatic",0,"stomach","no","yes","no","no","no","no","no",4,"3+",5.01032945951025,15.5225,0.608,96.5097263182785,53.75,1.6,NA,NA,1.28470479975464,96.5097263182785,NA,NA,1.28470479975464,"Contracaecum_osculatum_A-C"
"Contracaecum osculatum [D, E]","Contracaecum","Anisakidae","Ascaridida","Chromadorea","Nematoda",1,"1","1larv","yes","int","paratenic",NA,NA,NA,NA,NA,"ecto",0,"invert","aquatic",0,"body cavity","yes","no","no","no","no","no","no",4,"3+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,0,"Contracaecum_osculatum_D-E"
"Contracaecum osculatum [D, E]","Contracaecum","Anisakidae","Ascaridida","Chromadorea","Nematoda",2,"2","2larv","no","int","no",16,"Chordata","Actinopterygii",2.01449919261996,3.3902531423546,"ecto",0,"invert","aquatic",0,"liver; gut wall","no","no","yes","no","yes","no","no",4,"3+",NA,NA,NA,NA,15.7,NA,NA,NA,NA,NA,NA,NA,NA,"Contracaecum_osculatum_D-E"
"Contracaecum osculatum [D, E]","Contracaecum","Anisakidae","Ascaridida","Chromadorea","Nematoda",3,"3","3larv","no","int","paratenic",3,"Chordata","Actinopterygii",2.62425265963994,3.55557826520439,"ecto",0,"invert","aquatic",0,"liver; gut wall","no","no","yes","no","yes","no","no",4,"3+",NA,15.7,NA,NA,NA,NA,NA,NA,NA,NA,1,20,0,"Contracaecum_osculatum_D-E"
